"caminho","tipo","mapas internos","imagens","textuais","objetivo","disciplina","assunto","únicos","duplicados","templates","direto","local","órfão"
"src/data/apostilas/administracao-financeira-orcamentaria.js","JS","120","0","120","Tribunais","Direito Administrativo","orçamento como lei, plano financeiro e instrumento de controle democrático","51","69","0","sim","não","não"
"src/data/apostilas/administracao-publica-gestao-publica.js","JS","120","0","120","Tribunais","Direito Administrativo","diferença entre Estado, governo e Administração, separando função política de execução administrativa","51","69","8","sim","não","não"
"src/data/apostilas/arquivologia.js","JS","120","0","120","Tribunais","Direito Administrativo","arquivo como conjunto org[caractere ilegivel]nico de documentos produzidos por atividade institucional","51","69","0","sim","não","não"
"src/data/apostilas/atendimento-publico-qualidade-servico-publico.js","JS","120","0","120","Tribunais","Direito Administrativo","atendimento como expressão concreta de cidadania, eficiência e respeito","51","69","0","sim","não","não"
"src/data/apostilas/atualidades-avancada.js","JS","80","0","80","OAB","Ética Profissional","leitura cr[caractere ilegivel]tica de fatos","40","40","0","sim","não","não"
"src/data/apostilas/contabilidade-publica-basica.js","JS","120","0","120","Tribunais","Direito Administrativo","registro, evidencia[caractere ilegivel][caractere ilegivel]o e controle do patrim[caractere ilegivel]nio p[caractere ilegivel]blico e atos relevantes","51","69","0","sim","não","não"
"src/data/apostilas/criminologia-seguranca-publica-avancada.js","JS","100","0","100","OAB","Direito Constitucional","Fundamentos da Criminologia","41","59","0","sim","não","não"
"src/data/apostilas/criminologia-simulados-comentados.js","JS","140","0","140","Polícia Militar","Direito Penal","criminologia estuda crime, criminoso, v[caractere ilegivel]tima e controle social com m[caractere ilegivel]todo emp[caractere ilegivel]rico e interdisciplinar","70","70","0","sim","não","não"
"src/data/apostilas/ctb-codigo-transito-brasileiro.js","JS","100","0","100","Polícia Civil","Direito Constitucional","Sistema Nacional de Tr[caractere ilegivel]nsito","41","59","0","sim","não","não"
"src/data/apostilas/ctb-simulados-comentados.js","JS","140","0","140","Polícia Militar","Direito Administrativo","[caractere ilegivel]rg[caractere ilegivel]os de tr[caractere ilegivel]nsito possuem compet[caractere ilegivel]ncias espec[caractere ilegivel]ficas de normatiza[caractere ilegivel][caractere ilegivel]o, fiscaliza[caractere ilegivel][caractere ilegivel]o, julgamento e educa[caractere ilegivel][caractere ilegivel]o","70","70","0","sim","não","não"
"src/data/apostilas/direito-administrativo-avancado.js","JS","80","0","80","OAB","Direito Administrativo","l[caractere ilegivel]gica da Administra[caractere ilegivel][caractere ilegivel]o P[caractere ilegivel]blica","40","40","0","sim","não","não"
"src/data/apostilas/direito-ambiental-avancado.js","JS","100","0","100","OAB","Direito Constitucional","Meio ambiente e princípios ambientais","50","50","0","sim","não","não"
"src/data/apostilas/direito-civil-avancado.js","JS","100","0","100","OAB","Direito Constitucional","Pessoa natural, personalidade, capacidade e direitos da personalidade","50","50","0","sim","não","não"
"src/data/apostilas/direito-constitucional-avancado.js","JS","80","0","80","OAB","Direito Constitucional","base do sistema constitucional","40","40","0","sim","não","não"
"src/data/apostilas/direito-consumidor-avancado.js","JS","100","0","100","OAB","Direito Constitucional","Relação de consumo e vulnerabilidade","50","50","0","sim","não","não"
"src/data/apostilas/direito-digital-lgpd-avancado.js","JS","100","0","100","OAB","Direito Constitucional","Fundamentos do Direito Digital","50","50","0","sim","não","não"
"src/data/apostilas/direito-digital-lgpd-crimes-ciberneticos.js","JS","80","0","80","OAB","Direito Constitucional","No[caractere ilegivel][caractere ilegivel]es iniciais de Direito Digital","32","48","0","sim","não","não"
"src/data/apostilas/direito-eleitoral-avancado.js","JS","100","0","100","OAB","Direito Constitucional","Direitos políticos e alistamento","50","50","0","sim","não","não"
"src/data/apostilas/direito-eleitoral.js","JS","80","0","80","OAB","Direito Constitucional","Direitos pol[caractere ilegivel]ticos, soberania popular, alistamento e voto","31","49","0","sim","não","não"
"src/data/apostilas/direito-empresarial-avancado.js","JS","100","0","100","OAB","Direito Constitucional","Empresa, empresário e estabelecimento","50","50","2","sim","não","não"
"src/data/apostilas/direito-financeiro-avancado.js","JS","100","0","100","OAB","Direito Constitucional","Atividade financeira do Estado","50","50","0","sim","não","não"
"src/data/apostilas/direito-internacional-avancado.js","JS","100","0","100","OAB","Direito Constitucional","Fontes do Direito Internacional","50","50","0","sim","não","não"
"src/data/apostilas/direito-internacional.js","JS","80","0","80","OAB","Direito Constitucional","Fontes, sujeitos e princ[caractere ilegivel]pios do Direito Internacional P[caractere ilegivel]blico","31","49","0","sim","não","não"
"src/data/apostilas/direito-penal-militar-avancado.js","JS","120","0","120","Corpo de Bombeiros","Direito Penal","hierarquia, disciplina, regularidade das institui[caractere ilegivel][caractere ilegivel]es militares e prote[caractere ilegivel][caractere ilegivel]o do servi[caractere ilegivel]o","42","78","0","sim","não","não"
"src/data/apostilas/direito-penal-parte-especial-avancado.js","JS","120","0","120","OAB","Direito Penal","vida humana como bem jur[caractere ilegivel]dico, diferen[caractere ilegivel]a entre matar, induzir, auxiliar e criar situa[caractere ilegivel][caractere ilegivel]o de risco extremo","42","78","0","sim","não","não"
"src/data/apostilas/direito-penal-parte-geral-avancado.js","JS","80","0","80","OAB","Direito Penal","limites do poder punitivo","40","40","0","sim","não","não"
"src/data/apostilas/direito-previdenciario-avancado.js","JS","100","0","100","OAB","Direito Constitucional","Seguridade Social e Previdência","50","50","0","sim","não","não"
"src/data/apostilas/direito-processual-civil-avancado.js","JS","100","0","100","OAB","Direito Constitucional","Princ[caractere ilegivel]pios processuais, acesso [caractere ilegivel] justi[caractere ilegivel]a e coopera[caractere ilegivel][caractere ilegivel]o","50","50","0","sim","não","não"
"src/data/apostilas/direito-processual-penal-avancado.js","JS","120","0","120","OAB","Direito Processual Penal","procedimento investigativo, informatividade, sigilo, contraditório diferido e justa causa","42","78","0","sim","não","não"
"src/data/apostilas/direito-processual-penal-militar-avancado.js","JS","120","0","120","Corpo de Bombeiros","Direito Penal","apura[caractere ilegivel][caractere ilegivel]o de crime militar, documenta[caractere ilegivel][caractere ilegivel]o, preserva[caractere ilegivel][caractere ilegivel]o de prova e relat[caractere ilegivel]rio","42","78","0","sim","não","não"
"src/data/apostilas/direito-processual-trabalho-avancado.js","JS","100","0","100","OAB","Direito Constitucional","Compet[caractere ilegivel]ncia da Justi[caractere ilegivel]a do Trabalho","50","50","0","sim","não","não"
"src/data/apostilas/direito-trabalho-avancado.js","JS","100","0","100","OAB","Direito Constitucional","Relação de emprego e trabalho autônomo","50","50","0","sim","não","não"
"src/data/apostilas/direito-tributario-avancado.js","JS","100","0","100","OAB","Direito Constitucional","Sistema tribut[caractere ilegivel]rio e esp[caractere ilegivel]cies tribut[caractere ilegivel]rias","50","50","0","sim","não","não"
"src/data/apostilas/direitos-humanos-atividade-policial-casos-praticos.js","JS","140","0","140","Polícia Militar","Raciocínio Lógico-Matemático","abordagem leg[caractere ilegivel]tima precisa de base objetiva, urbanidade, busca limitada e registro quando necess[caractere ilegivel]rio","70","70","0","sim","não","não"
"src/data/apostilas/direitos-humanos-avancado.js","JS","80","0","80","OAB","Ética Profissional","fundamentos dos direitos humanos","40","40","0","sim","não","não"
"src/data/apostilas/eca-avancado.js","JS","100","0","100","OAB","Direito Constitucional","Proteção integral e prioridade absoluta","50","50","0","sim","não","não"
"src/data/apostilas/gestao-pessoas-servico-publico.js","JS","120","0","120","Tribunais","Direito Administrativo","gestão de pessoas como alinhamento entre servidores, competências e entrega pública","51","69","0","sim","não","não"
"src/data/apostilas/governanca-integridade-compliance-publico.js","JS","120","0","120","Tribunais","Direito Administrativo","direção, monitoramento e avaliação para entregar valor público com controle","51","69","0","sim","não","não"
"src/data/apostilas/guarda-municipal-base-de-estudos.js","JS","140","0","140","Polícia Militar","Raciocínio Lógico-Matemático","guarda municipal protege bens, servi[caractere ilegivel]os e instala[caractere ilegivel][caractere ilegivel]es, com atua[caractere ilegivel][caractere ilegivel]o preventiva e comunit[caractere ilegivel]ria conforme legisla[caractere ilegivel][caractere ilegivel]o","70","70","0","sim","não","não"
"src/data/apostilas/informatica-avancada.js","JS","80","0","80","OAB","Ética Profissional","base computacional","40","40","0","sim","não","não"
"src/data/apostilas/legislacao-institucional-pmma-simulados-comentados.js","JS","120","0","120","Polícia Militar","Raciocínio Lógico-Matemático","estrutura militar estadual, valores, obediência legal e dever funcional","42","78","0","sim","não","não"
