"canonicalId","nome canonico","aliases","objetivo ou instituicao","objetivo ou categoria ampla","conteudos","justificativa","risco","decisao recomendada","requer decisao humana"
"objective:oab","OAB","Exame de Ordem","objetivo candidato","vertical direta","571","Detectado nas auditorias V2/V2.1 por caminho, metadado ou contexto.","medio","decisao humana antes de migration","sim"
"objective:policia-militar","Polícia Militar","PMMA","objetivo candidato","categoria ampla com instituicoes/concursos abaixo","101","Detectado nas auditorias V2/V2.1 por caminho, metadado ou contexto.","alto: pode misturar instituicoes/concursos","decisao humana antes de migration","sim"
"objective:policia-civil","Polícia Civil","PC","objetivo candidato","categoria ampla com instituicoes/concursos abaixo","36","Detectado nas auditorias V2/V2.1 por caminho, metadado ou contexto.","medio","decisao humana antes de migration","sim"
"objective:enem","ENEM","Ensino Médio","objetivo candidato","vertical direta","13","Detectado nas auditorias V2/V2.1 por caminho, metadado ou contexto.","medio","decisao humana antes de migration","sim"
"objective:corpo-de-bombeiros","Corpo de Bombeiros","CBM","objetivo candidato","vertical direta","10","Detectado nas auditorias V2/V2.1 por caminho, metadado ou contexto.","medio","decisao humana antes de migration","sim"
"objective:guarda-municipal","Guarda Municipal","GM","objetivo candidato","vertical direta","6","Detectado nas auditorias V2/V2.1 por caminho, metadado ou contexto.","medio","decisao humana antes de migration","sim"
"objective:prf","PRF","Polícia Rodoviária Federal","avaliar como instituicao/orgao dentro de objetivo amplo","vertical direta","6","Detectado nas auditorias V2/V2.1 por caminho, metadado ou contexto.","medio","decisao humana antes de migration","sim"
"objective:tribunais","Tribunais","","objetivo candidato","categoria ampla com instituicoes/concursos abaixo","6","Detectado nas auditorias V2/V2.1 por caminho, metadado ou contexto.","alto: pode misturar instituicoes/concursos","decisao humana antes de migration","sim"
"objective:concursos-fiscais","Concursos Fiscais","","objetivo candidato","vertical direta","2","Detectado nas auditorias V2/V2.1 por caminho, metadado ou contexto.","medio","decisao humana antes de migration","sim"
"objective:concursos-administrativos","Concursos Administrativos","","objetivo candidato","vertical direta","1","Detectado nas auditorias V2/V2.1 por caminho, metadado ou contexto.","medio","decisao humana antes de migration","sim"
"objective:detran","DETRAN","","avaliar como instituicao/orgao dentro de objetivo amplo","vertical direta","1","Detectado nas auditorias V2/V2.1 por caminho, metadado ou contexto.","medio","decisao humana antes de migration","sim"
"objective:policia-penal","Polícia Penal","PP","objetivo candidato","vertical direta","1","Detectado nas auditorias V2/V2.1 por caminho, metadado ou contexto.","medio","decisao humana antes de migration","sim"
