"contentId","caminho","tipo","objetivo","disciplina","assunto","interface","acao","quarentena","prioridade"
"content:src-data-apostilas-administracao-financeira-orcamentaria-js","src/data/apostilas/administracao-financeira-orcamentaria.js","apostila/módulo","Concursos Fiscais","","orçamento como lei, plano financeiro e instrumento de controle democrático","direct-ui-connection","manter e validar filtro objetivo","sim","Media"
"content:src-data-apostilas-administracao-publica-gestao-publica-js","src/data/apostilas/administracao-publica-gestao-publica.js","apostila/módulo","","Direito Administrativo","diferença entre Estado, governo e Administração, separando função política de execução administrativa","direct-ui-connection","manter e validar filtro objetivo","sim","Media"
"content:src-data-apostilas-arquivologia-js","src/data/apostilas/arquivologia.js","apostila/módulo","Concursos Administrativos","","arquivo como conjunto org[caractere ilegivel]nico de documentos produzidos por atividade institucional","direct-ui-connection","manter e validar filtro objetivo","sim","Media"
"content:src-data-apostilas-atendimento-publico-qualidade-servico-publico-js","src/data/apostilas/atendimento-publico-qualidade-servico-publico.js","apostila/módulo","","","atendimento como expressão concreta de cidadania, eficiência e respeito","direct-ui-connection","manter e validar filtro objetivo","sim","Media"
"content:src-data-apostilas-atualidades-avancada-js","src/data/apostilas/atualidades-avancada.js","apostila/módulo","OAB","Atualidades","leitura cr[caractere ilegivel]tica de fatos","direct-ui-connection","manter e validar filtro objetivo","nao","Media"
"content:src-data-apostilas-atualidades-js","src/data/apostilas/atualidades.js","apostila/módulo","","Atualidades","M[caractere ilegivel]todo de estudo","direct-ui-connection","manter e validar filtro objetivo","sim","Media"
"content:src-data-apostilas-banco-repertorios-redacao-js","src/data/apostilas/banco-repertorios-redacao.js","redação","OAB","Redação","Constitui[caractere ilegivel][caractere ilegivel]o, cidadania e dignidade humana","direct-ui-connection","manter e validar filtro objetivo","nao","Media"
"content:src-data-apostilas-banco-temas-redacao-policial-js","src/data/apostilas/banco-temas-redacao-policial.js","redação","OAB","Redação","Viol[caractere ilegivel]ncia urbana, preven[caractere ilegivel][caractere ilegivel]o e responsabilidade compartilhada","direct-ui-connection","manter e validar filtro objetivo","nao","Media"
"content:src-data-apostilas-biologia-enem-js","src/data/apostilas/biologia-enem.js","apostila/módulo","ENEM","Biologia","Citologia, membranas e metabolismo celular","direct-ui-connection","manter e validar filtro objetivo","nao","Media"
"content:src-data-apostilas-caderno-erros-inteligente-js","src/data/apostilas/caderno-erros-inteligente.js","apostila/módulo","OAB","","Erro conceitual, erro de atenção e erro de estratégia","direct-ui-connection","manter e validar filtro objetivo","sim","Media"
"content:src-data-apostilas-ciencias-humanas-simulados-js","src/data/apostilas/ciencias-humanas-simulados.js","simulado","ENEM","","Simulado 1: fontes hist[caractere ilegivel]ricas e cartografia","direct-ui-connection","manter e validar filtro objetivo","sim","Media"
"content:src-data-apostilas-ciencias-natureza-simulados-js","src/data/apostilas/ciencias-natureza-simulados.js","simulado","ENEM","","Simulado 1: m[caractere ilegivel]todo cient[caractere ilegivel]fico e gr[caractere ilegivel]ficos","direct-ui-connection","manter e validar filtro objetivo","sim","Media"
"content:src-data-apostilas-comentarios-questoes-ia-js","src/data/apostilas/comentarios-questoes-ia.js","banco de questões","OAB","","O que um comentário de IA precisa ter","direct-ui-connection","manter e validar filtro objetivo","sim","Media"
"content:src-data-apostilas-contabilidade-publica-basica-js","src/data/apostilas/contabilidade-publica-basica.js","apostila/módulo","Concursos Fiscais","","registro, evidencia[caractere ilegivel][caractere ilegivel]o e controle do patrim[caractere ilegivel]nio p[caractere ilegivel]blico e atos relevantes","direct-ui-connection","manter e validar filtro objetivo","sim","Media"
"content:src-data-apostilas-criminologia-seguranca-publica-avancada-js","src/data/apostilas/criminologia-seguranca-publica-avancada.js","apostila/módulo","Tribunais","Criminologia e Segurança Pública","Fundamentos da Criminologia","direct-ui-connection","manter e validar filtro objetivo","nao","Media"
"content:src-data-apostilas-criminologia-simulados-comentados-js","src/data/apostilas/criminologia-simulados-comentados.js","simulado","Guarda Municipal","Criminologia e Segurança Pública","criminologia estuda crime, criminoso, v[caractere ilegivel]tima e controle social com m[caractere ilegivel]todo emp[caractere ilegivel]rico e interdisciplinar","direct-ui-connection","manter e validar filtro objetivo","nao","Media"
"content:src-data-apostilas-ctb-codigo-transito-brasileiro-js","src/data/apostilas/ctb-codigo-transito-brasileiro.js","apostila/módulo","Tribunais","","Sistema Nacional de Tr[caractere ilegivel]nsito","direct-ui-connection","manter e validar filtro objetivo","sim","Urgente"
"content:src-data-apostilas-ctb-simulados-comentados-js","src/data/apostilas/ctb-simulados-comentados.js","simulado","PRF","","[caractere ilegivel]rg[caractere ilegivel]os de tr[caractere ilegivel]nsito possuem compet[caractere ilegivel]ncias espec[caractere ilegivel]ficas de normatiza[caractere ilegivel][caractere ilegivel]o, fiscaliza[caractere ilegivel][caractere ilegivel]o, julgamento e educa[caractere ilegivel][caractere ilegivel]o","direct-ui-connection","manter e validar filtro objetivo","sim","Media"
"content:src-data-apostilas-direito-administrativo-avancado-js","src/data/apostilas/direito-administrativo-avancado.js","apostila/módulo","OAB","Direito Administrativo","l[caractere ilegivel]gica da Administra[caractere ilegivel][caractere ilegivel]o P[caractere ilegivel]blica","direct-ui-connection","manter e validar filtro objetivo","nao","Media"
"content:src-data-apostilas-direito-administrativo-js","src/data/apostilas/direito-administrativo.js","apostila/módulo","","Direito Administrativo","Organiza[caractere ilegivel][caractere ilegivel]o administrativa","direct-ui-connection","manter e validar filtro objetivo","sim","Media"
"content:src-data-apostilas-direito-ambiental-avancado-js","src/data/apostilas/direito-ambiental-avancado.js","apostila/módulo","OAB","Direito Ambiental","Meio ambiente e princípios ambientais","direct-ui-connection","manter e validar filtro objetivo","nao","Media"
"content:src-data-apostilas-direito-ambiental-js","src/data/apostilas/direito-ambiental.js","apostila/módulo","","Direito Ambiental","Meio ambiente na Constitui[caractere ilegivel][caractere ilegivel]o e princ[caractere ilegivel]pios ambientais","direct-ui-connection","manter e validar filtro objetivo","sim","Media"
"content:src-data-apostilas-direito-civil-avancado-js","src/data/apostilas/direito-civil-avancado.js","apostila/módulo","OAB","Direito Civil","Pessoa natural, personalidade, capacidade e direitos da personalidade","direct-ui-connection","manter e validar filtro objetivo","nao","Media"
"content:src-data-apostilas-direito-civil-js","src/data/apostilas/direito-civil.js","apostila/módulo","","Direito Civil","Lei de Introdu[caractere ilegivel][caractere ilegivel]o [caractere ilegivel]s Normas do Direito Brasileiro","direct-ui-connection","manter e validar filtro objetivo","sim","Media"
"content:src-data-apostilas-direito-constitucional-avancado-js","src/data/apostilas/direito-constitucional-avancado.js","apostila/módulo","OAB","Direito Constitucional","base do sistema constitucional","direct-ui-connection","manter e validar filtro objetivo","nao","Media"
"content:src-data-apostilas-direito-constitucional-js","src/data/apostilas/direito-constitucional.js","apostila/módulo","","Direito Constitucional","Teoria constitucional","direct-ui-connection","manter e validar filtro objetivo","sim","Media"
"content:src-data-apostilas-direito-consumidor-avancado-js","src/data/apostilas/direito-consumidor-avancado.js","apostila/módulo","OAB","Direito do Consumidor","Relação de consumo e vulnerabilidade","direct-ui-connection","manter e validar filtro objetivo","nao","Media"
"content:src-data-apostilas-direito-consumidor-js","src/data/apostilas/direito-consumidor.js","apostila/módulo","OAB","Direito do Consumidor","Elementos da rela[caractere ilegivel][caractere ilegivel]o de consumo","direct-ui-connection","manter e validar filtro objetivo","nao","Media"
"content:src-data-apostilas-direito-digital-lgpd-avancado-js","src/data/apostilas/direito-digital-lgpd-avancado.js","apostila/módulo","OAB","Direito Digital/LGPD","Fundamentos do Direito Digital","direct-ui-connection","manter e validar filtro objetivo","nao","Media"
