"caminho","motivo","impacto","podeAparecer","acao","prioridade","responsavel"
"storage/content/leis/cdc/texto.txt + storage/content/leis/ctn/texto.txt","CDC x CTN com texto identico confirmado","risco juridico critico","nao","bloquear texto.txt, buscar fonte oficial, validar hashes apos correcao","Urgente","juridico/conteudo"
"src/data/apostilas/administracao-financeira-orcamentaria.js","sem disciplina","risco de mistura ou baixa qualidade","nao automaticamente","classificar/revisar antes de publicar","Media","conteudo/taxonomia"
"src/data/apostilas/administracao-publica-gestao-publica.js","sem objetivo","risco de mistura ou baixa qualidade","nao automaticamente","classificar/revisar antes de publicar","Media","conteudo/taxonomia"
"src/data/apostilas/arquivologia.js","sem disciplina","risco de mistura ou baixa qualidade","nao automaticamente","classificar/revisar antes de publicar","Media","conteudo/taxonomia"
"src/data/apostilas/atendimento-publico-qualidade-servico-publico.js","sem objetivo","risco de mistura ou baixa qualidade","nao automaticamente","classificar/revisar antes de publicar","Media","conteudo/taxonomia"
"src/data/apostilas/atualidades.js","sem objetivo","risco de mistura ou baixa qualidade","nao automaticamente","classificar/revisar antes de publicar","Media","conteudo/taxonomia"
"src/data/apostilas/caderno-erros-inteligente.js","sem disciplina","risco de mistura ou baixa qualidade","nao automaticamente","classificar/revisar antes de publicar","Media","conteudo/taxonomia"
"src/data/apostilas/ciencias-humanas-simulados.js","sem disciplina","risco de mistura ou baixa qualidade","nao automaticamente","classificar/revisar antes de publicar","Media","conteudo/taxonomia"
"src/data/apostilas/ciencias-natureza-simulados.js","sem disciplina","risco de mistura ou baixa qualidade","nao automaticamente","classificar/revisar antes de publicar","Media","conteudo/taxonomia"
"src/data/apostilas/comentarios-questoes-ia.js","sem disciplina","risco de mistura ou baixa qualidade","nao automaticamente","classificar/revisar antes de publicar","Media","conteudo/taxonomia"
"src/data/apostilas/contabilidade-publica-basica.js","sem disciplina","risco de mistura ou baixa qualidade","nao automaticamente","classificar/revisar antes de publicar","Media","conteudo/taxonomia"
"src/data/apostilas/ctb-codigo-transito-brasileiro.js","sem disciplina","risco de mistura ou baixa qualidade","nao automaticamente","classificar/revisar antes de publicar","Urgente","conteudo/taxonomia"
"src/data/apostilas/ctb-simulados-comentados.js","sem disciplina","risco de mistura ou baixa qualidade","nao automaticamente","classificar/revisar antes de publicar","Media","conteudo/taxonomia"
"src/data/apostilas/direito-administrativo.js","sem objetivo","risco de mistura ou baixa qualidade","nao automaticamente","classificar/revisar antes de publicar","Media","conteudo/taxonomia"
"src/data/apostilas/direito-ambiental.js","sem objetivo","risco de mistura ou baixa qualidade","nao automaticamente","classificar/revisar antes de publicar","Media","conteudo/taxonomia"
"src/data/apostilas/direito-civil.js","sem objetivo","risco de mistura ou baixa qualidade","nao automaticamente","classificar/revisar antes de publicar","Media","conteudo/taxonomia"
"src/data/apostilas/direito-constitucional.js","sem objetivo","risco de mistura ou baixa qualidade","nao automaticamente","classificar/revisar antes de publicar","Media","conteudo/taxonomia"
"src/data/apostilas/direito-penal-militar.js","sem objetivo","risco de mistura ou baixa qualidade","nao automaticamente","classificar/revisar antes de publicar","Media","conteudo/taxonomia"
"src/data/apostilas/direito-penal-parte-geral.js","sem objetivo","risco de mistura ou baixa qualidade","nao automaticamente","classificar/revisar antes de publicar","Media","conteudo/taxonomia"
"src/data/apostilas/direito-processual-civil.js","sem objetivo","risco de mistura ou baixa qualidade","nao automaticamente","classificar/revisar antes de publicar","Media","conteudo/taxonomia"
"src/data/apostilas/direito-processual-penal-militar.js","sem objetivo","risco de mistura ou baixa qualidade","nao automaticamente","classificar/revisar antes de publicar","Media","conteudo/taxonomia"
"src/data/apostilas/direito-processual-penal.js","sem objetivo","risco de mistura ou baixa qualidade","nao automaticamente","classificar/revisar antes de publicar","Media","conteudo/taxonomia"
"src/data/apostilas/direito-processual-trabalho-avancado.js","sem disciplina","risco de mistura ou baixa qualidade","nao automaticamente","classificar/revisar antes de publicar","Media","conteudo/taxonomia"
"src/data/apostilas/direito-processual-trabalho.js","sem disciplina","risco de mistura ou baixa qualidade","nao automaticamente","classificar/revisar antes de publicar","Media","conteudo/taxonomia"
"src/data/apostilas/direitos-humanos.js","sem objetivo","risco de mistura ou baixa qualidade","nao automaticamente","classificar/revisar antes de publicar","Media","conteudo/taxonomia"
"src/data/apostilas/eca-avancado.js","sem disciplina","risco de mistura ou baixa qualidade","nao automaticamente","classificar/revisar antes de publicar","Media","conteudo/taxonomia"
"src/data/apostilas/eca.js","sem disciplina","risco de mistura ou baixa qualidade","nao automaticamente","classificar/revisar antes de publicar","Media","conteudo/taxonomia"
"src/data/apostilas/etica-profissional-oab.js","sem disciplina","risco de mistura ou baixa qualidade","nao automaticamente","classificar/revisar antes de publicar","Media","conteudo/taxonomia"
"src/data/apostilas/etica.js","sem objetivo","risco de mistura ou baixa qualidade","nao automaticamente","classificar/revisar antes de publicar","Media","conteudo/taxonomia"
